Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Johnny Walker,Johnny Walker,Zhang Mingyang,1-0,50-20,0-0,0-0,Light Heavyweight,KO/TKO-Punches,2,2:37
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Aljamain Sterling,Aljamain Sterling,Brian Ortega,0-0,124-55,3-0,0-0,Catch Weight,U-DEC,5,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Sergei Pavlovich,Sergei Pavlovich,Waldo Cortes-Acosta,0-0,61-45,0-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Sumudaerji,Sumudaerji,Kevin Borjas,0-0,73-16,0-0,0-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Taiyilake Nueraji,Taiyilake Nueraji,Kiefer Crosbie,0-0,27-2,1-0,0-0,Welterweight,KO/TKO-Elbows,1,3:33
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Gauge Young,Gauge Young,Maheshate,0-0,112-66,3-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Charles Johnson,Charles Johnson,Lone'er Kavanagh,1-0,44-59,1-1,0-1,Flyweight,KO/TKO-Punch,2,4:35
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Rongzhu,Rongzhu,Austin Hubbard,0-0,101-75,0-2,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Kyle Daukaus,Kyle Daukaus,Michel Pereira,1-0,5-2,0-0,0-0,Middleweight,KO/TKO-Elbows,1,0:43
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Yizha,Yizha,Westin Wilson,2-0,13-0,0-0,0-0,Featherweight,KO/TKO-Punches,1,0:37
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",SuYoung You,SuYoung You,Xiao Long,0-0,58-68,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Uran Satybaldiev,Uran Satybaldiev,Diyar Nurgozhay,1-0,2-7,0-1,2-0,Light Heavyweight,SUB-Ezekiel-Choke,1,2:45
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Khamzat Chimaev,Khamzat Chimaev,Dricus Du Plessis,0-0,37-13,12-1,0-1,Middleweight,U-DEC,5,5:00
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Lerone Murphy,Lerone Murphy,Aaron Pico,1-0,8-13,0-2,1-0,Featherweight,KO/TKO-Spinning-Back-Elbow,1,3:21
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Carlos Prates,Carlos Prates,Geoff Neal,1-0,32-25,0-0,0-0,Welterweight,KO/TKO-Spinning-Back-Elbow,1,4:59
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Michael Page,Michael Page,Jared Cannonier,0-0,29-20,0-2,0-0,Middleweight,U-DEC,3,5:00
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Tim Elliott,Tim Elliott,Kai Asakura,0-0,27-21,2-0,2-0,Flyweight,SUB-Guillotine-Choke,2,4:39
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Baisangur Susurkaev,Baisangur Susurkaev,Eric Nolan,0-0,36-22,2-0,1-0,Middleweight,SUB-Rear-Naked-Choke,2,2:01
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Michal Oleksiejczuk,Michal Oleksiejczuk,Gerald Meerschaert,1-0,23-3,0-0,0-0,Middleweight,KO/TKO-Punches,1,3:03
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Loopy Godinez,Loopy Godinez,Jessica Andrade,0-0,107-90,1-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Alexander Hernandez,Alexander Hernandez,Chase Hooper,1-0,17-20,0-0,0-0,Lightweight,KO/TKO-Punch,1,4:58
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Drakkar Klose,Drakkar Klose,Edson Barboza,0-0,53-71,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Karine Silva,Karine Silva,Dione Barbosa,0-0,26-31,1-3,2-1,Women's Flyweight,U-DEC,3,5:00
UFC 319: Du Plessis vs. Chimaev,"August 16, 2025",Joseph Morales,Joseph Morales,Alibi Idiris,0-0,29-28,2-0,2-0,Flyweight,SUB-Triangle-Choke,2,3:04
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Anthony Hernandez,Anthony Hernandez,Roman Dolidze,0-0,91-36,9-0,1-0,Middleweight,SUB-Rear-Naked-Choke,4,2:45
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Steve Erceg,Steve Erceg,Ode Osbourne,0-0,20-35,3-1,1-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Iasmin Lucindo,Iasmin Lucindo,Angela Hill,0-0,72-64,3-0,0-1,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Andre Fili,Andre Fili,Christian Rodriguez,0-0,64-83,3-1,0-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Jean Matsumoto,Jean Matsumoto,Miles Johns,0-0,95-83,0-5,2-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Christian Leroy Duncan,Christian Leroy Duncan,Eryk Anders,1-0,24-7,0-1,0-0,Middleweight,KO/TKO-Punches,1,3:53
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Julius Walker,Julius Walker,Rafael Cerqueira,1-0,44-19,6-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Elijah Smith,Elijah Smith,Toshiomi Kazama,0-0,37-0,0-1,0-1,Bantamweight,KO/TKO-Slam,1,4:10
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Joselyne Edwards,Joselyne Edwards,Priscila Cachoeira,1-0,26-18,0-0,0-0,Women's Bantamweight,KO/TKO-Punch,1,2:24
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Uros Medic,Uros Medic,Gilbert Urbina,1-1,5-5,0-0,0-0,Welterweight,KO/TKO-Punch,1,1:03
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Gabriella Fernandes,Gabriella Fernandes,Julija Stoliarenko,0-0,59-61,0-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Hernandez,"August 09, 2025",Eric McConico,Eric McConico,Cody Brundage,0-0,26-31,0-3,0-0,Light Heavyweight,S-DEC,3,5:00
UFC Fight Night: Taira vs. Park,"August 02, 2025",Tatsuro Taira,Tatsuro Taira,HyunSung Park,1-0,7-3,4-0,1-0,Flyweight,SUB-Neck-Crank,2,1:06
UFC Fight Night: Taira vs. Park,"August 02, 2025",Chris Duncan,Chris Duncan,Mateusz Rebecki,0-0,92-114,0-2,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Taira vs. Park,"August 02, 2025",Esteban Ribovics,Esteban Ribovics,Elves Brener,0-0,122-118,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Taira vs. Park,"August 02, 2025",Karol Rosa,Karol Rosa,Nora Cornolle,0-0,33-27,2-0,2-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Taira vs. Park,"August 02, 2025",Neil Magny,Neil Magny,Elizeu Zaleski dos Santos,0-0,42-20,2-1,0-0,Welterweight,KO/TKO-Punches,2,4:39
UFC Fight Night: Taira vs. Park,"August 02, 2025",Kevin Vallejos,Kevin Vallejos,Danny Silva,0-0,90-69,2-1,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Taira vs. Park,"August 02, 2025",Rinya Nakamura,Rinya Nakamura,Nathan Fletcher,1-0,12-3,0-0,0-0,Bantamweight,KO/TKO-Kick,1,1:02
UFC Fight Night: Taira vs. Park,"August 02, 2025",Rodolfo Vieira,Rodolfo Vieira,Tresean Gore,0-0,89-41,1-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Taira vs. Park,"August 02, 2025",Andrey Pulyaev,Andrey Pulyaev,Nick Klein,1-0,23-10,0-4,0-1,Middleweight,KO/TKO-Kick,2,1:31
UFC Fight Night: Taira vs. Park,"August 02, 2025",Austin Bashi,Austin Bashi,John Yannis,0-0,2-0,1-0,1-0,Featherweight,SUB-Rear-Naked-Choke,1,3:39
UFC Fight Night: Taira vs. Park,"August 02, 2025",Rafael Estevam,Rafael Estevam,Felipe Bunes,0-0,33-26,5-0,0-2,Flyweight,U-DEC,3,5:00
UFC Fight Night: Taira vs. Park,"August 02, 2025",Piera Rodriguez,Piera Rodriguez,Ketlen Souza,0-0,64-56,7-0,0-0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Reinier de Ridder,Reinier de Ridder,Robert Whittaker,0-1,67-66,2-0,0-0,Middleweight,S-DEC,5,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Petr Yan,Petr Yan,Marcus McGhee,0-0,81-64,1-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Shara Magomedov,Shara Magomedov,Marc-Andre Barriault,0-0,93-39,0-2,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Asu Almabayev,Asu Almabayev,Jose Ochoa,0-0,22-26,7-1,2-2,Flyweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Bogdan Guskov,Bogdan Guskov,Nikita Krylov,1-0,23-16,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,4:18
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Bryce Mitchell,Bryce Mitchell,Said Nurmagomedov,0-1,13-20,3-0,0-1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Muslim Salikhov,Muslim Salikhov,Carlos Leal,1-0,3-5,0-0,0-0,Welterweight,KO/TKO-Punch,1,0:42
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Davey Grant,Davey Grant,Da'Mon Blackshear,0-0,66-33,0-1,0-1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Tabatha Ricci,Tabatha Ricci,Amanda Ribas,0-0,34-30,1-1,0-0,Women's Strawweight,KO/TKO-Elbow,2,2:59
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Billy Elekana,Billy Elekana,Ibo Aslan,0-0,35-28,0-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Steven Nguyen,Steven Nguyen,Mohammad Yahya,6-0,92-57,0-0,0-0,Featherweight,KO/TKO,2,5:00
UFC Fight Night: Whittaker vs. De Ridder,"July 26, 2025",Martin Buday,Martin Buday,Marcus Buchecha,0-0,41-24,0-1,0-0,Heavyweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Max Holloway,Max Holloway,Dustin Poirier,1-1,198-109,0-0,0-1,Lightweight,U-DEC,5,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Paulo Costa,Paulo Costa,Roman Kopylov,1-0,99-48,0-0,0-0,Middleweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Daniel Rodriguez,Daniel Rodriguez,Kevin Holland,2-1,77-82,0-1,0-0,Welterweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Patricio Freire,Patricio Freire,Dan Ige,0-0,55-47,5-0,0-0,Featherweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Michael Johnson,Michael Johnson,Daniel Zellhuber,1-0,80-52,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Vinicius Oliveira,Vinicius Oliveira,Kyler Phillips,1-0,96-49,1-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Brendan Allen,Brendan Allen,Marvin Vettori,0-0,111-109,3-0,0-0,Middleweight,U-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Nikolay Veretennikov,Nikolay Veretennikov,Francisco Prado,0-0,56-47,2-3,0-1,Welterweight,S-DEC,3,5:00
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Ateba Gautier,Ateba Gautier,Robert Valentin,1-0,19-2,0-0,0-0,Middleweight,KO/TKO-Punch,1,1:10
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Islam Dulatov,Islam Dulatov,Adam Fugitt,1-0,21-14,0-0,0-0,Welterweight,KO/TKO-Punch,1,4:06
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Jimmy Crute,Jimmy Crute,Marcin Prachnio,0-0,5-21,3-0,2-0,Light Heavyweight,SUB-Armbar,1,4:42
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Ryan Spann,Ryan Spann,Lukasz Brzeski,0-0,8-5,1-0,2-0,Heavyweight,SUB-Guillotine-Choke,1,2:47
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Brunno Ferreira,Brunno Ferreira,Jackson McVey,0-0,7-4,1-0,1-0,Middleweight,SUB-Armbar,1,3:35
UFC 318: Holloway vs. Poirier 3,"July 19, 2025",Carli Judice,Carli Judice,Nicolle Caliari,1-0,109-32,0-1,0-0,Women's Flyweight,KO/TKO-Knee,3,1:30
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Derrick Lewis,Derrick Lewis,Tallison Teixeira,1-0,9-3,0-0,0-0,Heavyweight,KO/TKO-Punches,1,0:35
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Gabriel Bonfim,Gabriel Bonfim,Stephen Thompson,0-0,40-42,5-0,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Steve Garcia,Steve Garcia,Calvin Kattar,1-0,85-26,0-0,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Morgan Charriere,Morgan Charriere,Nate Landwehr,1-0,67-63,2-0,0-0,Featherweight,KO/TKO-Punch,3,0:27
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Vitor Petrino,Vitor Petrino,Austen Lane,0-0,3-3,1-0,2-0,Heavyweight,SUB-Rear-Naked-Choke,1,4:16
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Tuco Tokkos,Tuco Tokkos,Junior Tafa,0-0,11-24,5-0,1-0,Light Heavyweight,SUB-Arm-Triangle,2,4:25
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Chris Curtis,Chris Curtis,Max Griffin,0-0,64-59,0-0,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Jake Matthews,Jake Matthews,Chidi Njokuani,0-0,3-5,1-0,1-0,Welterweight,SUB-Rear-Naked-Choke,1,1:09
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Eduarda Moura,Eduarda Moura,Lauren Murphy,0-0,64-38,2-2,0-2,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Valter Walker,Valter Walker,Kennedy Nzechukwu,0-0,4-0,1-0,1-0,Heavyweight,SUB-Heel-Hook,1,0:54
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Mike Davis,Mike Davis,Mitch Ramirez,1-0,47-51,1-0,2-0,Lightweight,KO/TKO-Punches,2,4:08
UFC Fight Night: Lewis vs. Teixeira,"July 12, 2025",Fatima Kline,Fatima Kline,Melissa Martinez,1-0,92-44,0-0,0-0,Women's Strawweight,KO/TKO-Kick,3,2:36
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Ilia Topuria,Ilia Topuria,Charles Oliveira,1-0,21-9,0-0,0-0,Lightweight,KO/TKO-Punch,1,2:27
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Alexandre Pantoja,Alexandre Pantoja,Kai Kara-France,0-0,42-38,3-0,2-0,Flyweight,SUB-Rear-Naked-Choke,3,1:55
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Joshua Van,Joshua Van,Brandon Royval,1-0,204-215,0-0,0-0,Flyweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Beneil Dariush,Beneil Dariush,Renato Moicano,0-1,56-31,5-0,0-0,Lightweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Payton Talbott,Payton Talbott,Felipe Lima,0-0,59-26,0-3,0-0,Bantamweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Gregory Rodrigues,Gregory Rodrigues,Jack Hermansson,1-0,18-30,0-0,0-0,Middleweight,KO/TKO-Punch,1,4:21
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Jose Delgado,Jose Delgado,Hyder Amil,1-0,9-3,0-0,0-0,Featherweight,KO/TKO-Knee,1,0:26
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Tracy Cortez,Tracy Cortez,Viviane Araujo,0-0,65-22,3-0,1-0,Women's Flyweight,U-DEC,3,5:00
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Terrance McKinney,Terrance McKinney,Viacheslav Borshchev,0-0,1-2,1-0,2-0,Lightweight,SUB-Guillotine-Choke,1,0:55
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Jacobe Smith,Jacobe Smith,Niko Price,0-0,46-34,2-0,1-0,Welterweight,SUB-Rear-Naked-Choke,2,4:03
UFC 317: Topuria vs. Oliveira,"June 28, 2025",Jhonata Diniz,Jhonata Diniz,Alvin Hines,0-0,112-82,0-1,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Khalil Rountree Jr.,Khalil Rountree Jr.,Jamahal Hill,1-0,102-69,0-0,0-0,Light Heavyweight,U-DEC,5,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Rafael Fiziev,Rafael Fiziev,Ignacio Bahamondes,0-0,62-50,4-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Curtis Blaydes,Curtis Blaydes,Rizvan Kuniev,0-0,56-45,2-0,0-0,Heavyweight,S-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Myktybek Orolbai,Myktybek Orolbai,Tofiq Musayev,0-0,2-2,3-0,1-0,Catch Weight,SUB-Kimura,1,4:35
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Nazim Sadykhov,Nazim Sadykhov,Nikolas Motta,1-1,93-66,0-0,0-0,Lightweight,KO/TKO-Punches,2,4:17
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Muhammad Naimov,Muhammad Naimov,Bogdan Grad,0-0,18-31,1-3,1-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Seokhyeon Ko,Seokhyeon Ko,Oban Elliott,0-0,33-10,6-0,1-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",JunYong Park,JunYong Park,Ismail Naurdiev,0-0,45-76,2-1,1-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Daria Zhelezniakova,Daria Zhelezniakova,Melissa Mullins,0-0,99-64,0-3,0-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Klaudia Sygula,Klaudia Sygula,Irina Alekseeva,0-0,101-63,1-0,0-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Tagir Ulanbekov,Tagir Ulanbekov,Azat Maksum,0-0,68-62,0-3,1-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Hill vs. Rountree Jr.,"June 21, 2025",Mohammed Usman,Mohammed Usman,Hamdy Abdelwahab,0-0,86-55,0-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Kamaru Usman,Kamaru Usman,Joaquin Buckley,0-0,41-44,4-0,0-0,Welterweight,U-DEC,5,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Rose Namajunas,Rose Namajunas,Miranda Maverick,1-0,25-25,2-0,0-1,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Edmen Shahbazyan,Edmen Shahbazyan,Andre Petroski,1-0,53-34,0-2,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Raoni Barcelos,Raoni Barcelos,Cody Garbrandt,0-0,37-28,1-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Draw,Mansur Abdul-Malik,Cody Brundage,0-0,25-30,0-0,0-0,Middleweight,Overturned,3,0:36
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Alonzo Menifield,Alonzo Menifield,Oumar Sy,0-0,29-34,0-1,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",NC,Paul Craig,Rodolfo Bellato,0-0,17-10,0-1,0-0,Light Heavyweight,CNC,1,4:59
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Michael Chiesa,Michael Chiesa,Court McGee,0-0,72-39,0-0,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Malcolm Wellmaker,Malcolm Wellmaker,Kris Moutinho,1-0,25-6,0-0,0-0,Bantamweight,KO/TKO-Punch,1,2:37
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Jose Ochoa,Jose Ochoa,Cody Durden,1-0,30-9,0-2,0-0,Flyweight,KO/TKO-Punch,2,0:11
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Ricky Simon,Ricky Simon,Cameron Smotherman,0-0,34-29,3-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Phil Rowe,Phil Rowe,Ange Loosa,1-1,85-65,0-3,0-0,Welterweight,KO/TKO-Punches,3,4:03
UFC Fight Night: Usman vs. Buckley,"June 14, 2025",Jamey-Lyn Horth,Jamey-Lyn Horth,Vanessa Demopoulos,0-0,101-36,2-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Merab Dvalishvili,Merab Dvalishvili,Sean O'Malley,0-0,52-31,5-0,1-0,Bantamweight,SUB-Guillotine-Choke,3,4:42
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Kayla Harrison,Kayla Harrison,Julianna Pena,0-0,30-9,2-0,1-0,Women's Bantamweight,SUB-Kimura,2,4:55
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Joe Pyfer,Joe Pyfer,Kelvin Gastelum,2-0,57-33,1-0,0-0,Middleweight,U-DEC,3,5:00
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Mario Bautista,Mario Bautista,Patchy Mix,0-0,173-122,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Kevin Holland,Kevin Holland,Vicente Luque,0-0,40-24,1-0,1-0,Welterweight,SUB-Anaconda-Choke,2,1:03
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Joshua Van,Joshua Van,Bruno Silva,3-0,125-76,0-1,0-0,Flyweight,KO/TKO-Punches,3,4:01
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Azamat Murzakanov,Azamat Murzakanov,Brendson Ribeiro,1-0,27-8,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,3:25
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Waldo Cortes-Acosta,Waldo Cortes-Acosta,Serghei Spivac,0-0,110-48,0-2,0-0,Heavyweight,U-DEC,3,5:00
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Andreas Gustafsson,Andreas Gustafsson,Khaos Williams,0-0,98-39,8-0,0-0,Welterweight,U-DEC,3,5:00
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Wang Cong,Wang Cong,Ariane da Silva,1-0,143-63,0-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",JooSang Yoo,JooSang Yoo,Jeka Saragih,1-0,6-2,0-0,0-0,Featherweight,KO/TKO-Punch,1,0:28
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",Quillan Salkilld,Quillan Salkilld,Yanal Ashmouz,0-0,79-41,8-0,0-0,Lightweight,U-DEC,3,5:00
UFC 316: Dvalishvili vs. O'Malley 2,"June 07, 2025",MarQuel Mederos,MarQuel Mederos,Mark Choinski,1-0,110-58,0-2,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Mateusz Gamrot,Mateusz Gamrot,Ludovit Klein,0-0,65-24,6-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Ramiz Brahimaj,Ramiz Brahimaj,Billy Ray Goff,0-0,1-1,2-0,1-0,Welterweight,SUB-Guillotine-Choke,1,3:16
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Dustin Jacoby,Dustin Jacoby,Bruno Lopes,1-0,17-3,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,1:50
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Ketlen Vieira,Ketlen Vieira,Macy Chiasson,0-0,28-22,0-0,0-0,Women's Featherweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Zachary Reese,Zachary Reese,Dusko Todorovic,0-0,50-35,2-4,0-1,Middleweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Allan Nascimento,Allan Nascimento,Jafel Filho,0-0,12-14,1-4,1-1,Flyweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Jordan Leavitt,Jordan Leavitt,Kurt Holobaugh,0-0,1-0,3-0,1-0,Lightweight,SUB-Anaconda-Choke,1,1:39
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Bolaji Oki,Bolaji Oki,Michael Aswell,0-0,136-118,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025",Alice Ardelean,Alice Ardelean,Rayanne dos Santos,0-0,154-78,1-1,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Burns vs. Morales,"May 17, 2025",Michael Morales,Michael Morales,Gilbert Burns,2-0,33-5,0-1,0-0,Welterweight,KO/TKO-Punches,1,3:39
UFC Fight Night: Burns vs. Morales,"May 17, 2025",Mairon Santos,Mairon Santos,Sodiq Yusuff,0-0,40-36,0-1,0-0,Lightweight,U-DEC,3,5:00
